inn,ogrn,region,region_taxcode,okved,okved_section,creation_date,dissolution_date,age,company_label,sample_bucket
7734469141,1237700007445,moscow city,7700,43.21,F,2023-01-10,,1.0,Компания ИНН 7734469141,normal
7735534837,1077761966391,moscow city,7700,46.32,G,2007-11-01,,17.0,Компания ИНН 7735534837,data_quality_issue
7736325160,1197746655567,moscow city,7700,46.73.60,G,2019-11-11,,5.0,Компания ИНН 7736325160,data_quality_issue
7736667646,5137746098265,moscow city,7700,43.22,F,2013-11-20,,11.0,Компания ИНН 7736667646,normal
7743405271,1237700002847,moscow city,7700,62.01,J,2023-01-10,,1.0,Компания ИНН 7743405271,normal
7751162142,1197746302819,moscow city,7700,46.17,G,2019-05-06,,5.0,Компания ИНН 7751162142,revenue_drop_gt_30
7751212594,1217700639210,moscow city,7700,46.51,G,2021-12-27,,3.0,Компания ИНН 7751212594,normal
7751218162,1227700153438,moscow city,7700,46.31,G,2022-03-21,,2.0,Компания ИНН 7751218162,negative_profit
7801415024,5067847220634,sankt-petersburg,7800,46.24,G,2006-08-11,,18.0,Компания ИНН 7801415024,normal
7802580207,1167847233421,sankt-petersburg,7800,72.19,M,2016-05-25,,8.0,Компания ИНН 7802580207,normal
7805762075,1207800011143,sankt-petersburg,7800,47.78.50,G,2020-01-31,,4.0,Компания ИНН 7805762075,normal
7807252506,1217800171269,sankt-petersburg,7800,46.90,G,2021-11-03,,3.0,Компания ИНН 7807252506,assets_drop_gt_25
7807267478,1237800104740,sankt-petersburg,7800,45.31,G,2023-09-13,,1.0,Компания ИНН 7807267478,normal
7810642471,1177847009856,sankt-petersburg,7800,46.90,G,2017-01-18,,7.0,Компания ИНН 7810642471,revenue_drop_gt_30
7810823358,1117847132578,sankt-petersburg,7800,62,J,2011-04-12,,13.0,Компания ИНН 7810823358,normal
7810826905,1117847184069,sankt-petersburg,7800,47.59,G,2011-05-10,2024-10-16,13.0,Компания ИНН 7810826905,data_quality_issue
7813603946,1147847426781,sankt-petersburg,7800,71.11.10,M,2014-12-05,,10.0,Компания ИНН 7813603946,revenue_drop_gt_30
7816278660,1157847263826,sankt-petersburg,7800,14.12,C,2015-07-31,,9.0,Компания ИНН 7816278660,negative_profit
7816689652,1197847007907,sankt-petersburg,7800,46.31,G,2019-01-18,,5.0,Компания ИНН 7816689652,assets_drop_gt_25
7820073496,1207800044627,sankt-petersburg,7800,62.01,J,2020-03-25,,4.0,Компания ИНН 7820073496,normal
7839421764,1107847098424,sankt-petersburg,7800,41.20,F,2010-03-31,,14.0,Компания ИНН 7839421764,normal
7839490422,1147847013775,sankt-petersburg,7800,46.90,G,2014-01-20,,10.0,Компания ИНН 7839490422,normal
9701256102,1237700525303,moscow city,7700,46.31,G,2023-08-07,,1.0,Компания ИНН 9701256102,negative_profit
9701259079,1237700606846,moscow city,7700,46.42,G,2023-09-12,,1.0,Компания ИНН 9701259079,normal
9702014723,1207700077859,moscow city,7700,69.10,M,2020-02-21,,4.0,Компания ИНН 9702014723,negative_profit
9703148825,1237700433024,moscow city,7700,62.01,J,2023-06-26,,1.0,Компания ИНН 9703148825,negative_profit
9704086681,1217700414470,moscow city,7700,46.72,G,2021-09-03,,3.0,Компания ИНН 9704086681,normal
9705150403,1207700464014,moscow city,7700,45.31,G,2020-12-04,,4.0,Компания ИНН 9705150403,revenue_drop_gt_30
9705171080,1227700304644,moscow city,7700,62.01,J,2022-05-27,,2.0,Компания ИНН 9705171080,normal
9709032425,1187746501304,moscow city,7700,46.34.23,G,2018-05-23,2024-07-10,6.0,Компания ИНН 9709032425,negative_profit
9709077225,1227700007468,moscow city,7700,47.11.30,G,2022-01-14,,2.0,Компания ИНН 9709077225,data_quality_issue
9709077747,1227700044230,moscow city,7700,59.14,J,2022-02-03,,2.0,Компания ИНН 9709077747,assets_drop_gt_25
9717061719,1177746598061,moscow city,7700,46.73.40,G,2017-06-19,,7.0,Компания ИНН 9717061719,negative_profit
9719013365,1217700111947,moscow city,7700,70.22,M,2021-03-15,,3.0,Компания ИНН 9719013365,assets_drop_gt_25
9721139686,1217700381645,moscow city,7700,33.14,C,2021-08-16,,3.0,Компания ИНН 9721139686,normal
9722036965,1227700903803,moscow city,7700,46.34.10,G,2022-12-26,,2.0,Компания ИНН 9722036965,revenue_drop_gt_30
9723114246,1217700163812,moscow city,7700,46.72,G,2021-04-07,,3.0,Компания ИНН 9723114246,revenue_drop_gt_30
9723167304,1227700558997,moscow city,7700,62.02,J,2022-09-08,,2.0,Компания ИНН 9723167304,normal
9727031375,1237700260632,moscow city,7700,62.01,J,2023-04-05,,1.0,Компания ИНН 9727031375,data_quality_issue
9727035034,1237700358312,moscow city,7700,58.14.10,J,2023-05-19,,1.0,Компания ИНН 9727035034,revenue_drop_gt_30
9728049569,1217700522600,moscow city,7700,43.21,F,2021-10-29,,3.0,Компания ИНН 9728049569,negative_profit
9729027399,1167746882951,moscow city,7700,46.72,G,2016-09-20,,8.0,Компания ИНН 9729027399,normal
9729334255,1227700771121,moscow city,7700,46.90,G,2022-11-18,2024-09-18,2.0,Компания ИНН 9729334255,data_quality_issue
9731008280,1187746747770,moscow city,7700,72.19,M,2018-08-13,,6.0,Компания ИНН 9731008280,assets_drop_gt_25
9731059278,1197746755249,moscow city,7700,47.73,G,2019-12-27,,5.0,Компания ИНН 9731059278,negative_profit
